"","rank","film_title","release_date","sales","audience_seoul","audience","screens_seoul","screens","production_main","production_all","film_distribution","year","month"
"467",467,"아이들...",2011-02-17,13579712500,NA,1867849,NA,504,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2011,2
"468",468,"색, 계",2007-11-08,0,NA,1866900,"S",69,"US","US","(주)제이앤씨미디어그룹,씨제이엔터테인먼트",2007,11
"469",469,"연애의 온도",2013-03-21,13798864446,NA,1865195,NA,567,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2013,3
"470",470,"마약왕",2018-12-19,16222446942,NA,1864076,NA,1297,"Korea","Korea","(주)쇼박스",2018,12
"471",471,"구세주",2006-02-16,0,NA,1858668,"S",54,"Korea","Korea","쇼이스트(주)",2006,2
"472",472,"조폭마누라2-돌아온 전설",2003-09-05,NA,NA,1858077,"S",55,"Korea","Korea","씨제이엔터테인먼트",2003,9
"473",473,"지.아이.조 2",2013-03-28,14457048500,NA,1855917,NA,766,"US","US, Canada","씨제이이앤엠(주)",2013,3
"474",474,"노무현입니다",2017-05-25,14554935612,NA,1854867,NA,775,"Korea","Korea","CGV아트하우스,영화사 풀",2017,5
"475",475,"집으로 가는 길",2013-12-11,13048519745,NA,1854625,NA,740,"Korea","Korea","씨제이이앤엠(주)",2013,12
"476",476,"악마를 보았다",2010-08-12,14148937025,NA,1848418,NA,494,"Korea","Korea","(주)쇼박스",2010,8
"477",477,"바람피기 좋은 날",2007-02-08,0,NA,1847875,"S",95,"Korea","Korea","(주)시네마서비스",2007,2
"478",478,"콘스탄틴",2005-02-08,0,NA,1845000,"S",59,"US","US","워너브러더스 코리아(주)",2005,2
"479",479,"나의 PS 파트너",2012-12-06,13896872616,NA,1831725,NA,552,"Korea","Korea","씨제이이앤엠(주)",2012,12
"480",480,"뺑반",2019-01-30,15222811848,NA,1826714,NA,1285,"Korea","Korea","(주)쇼박스",2019,1
"481",481,"흡혈형사 나도열",2006-02-09,0,NA,1824822,"S",70,"Korea","Korea","(주)쇼박스",2006,2
"482",482,"007 스펙터",2015-11-11,14302132030,NA,1820842,NA,1105,"UK","UK, US","유니버설픽쳐스인터내셔널 코리아(유)",2015,11
"483",483,"캐치 미 이프 유 캔",2003-01-24,0,NA,1807612,"S",44,"US","US","씨제이엔터테인먼트",2003,1
"484",484,"변신",2019-08-21,15417922925,NA,1804112,NA,975,"Korea","Korea","(주)에이스메이커무비웍스",2019,8
"485",485,"차우",2009-07-15,12676951144,NA,1799356,NA,397,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2009,7
"486",486,"작전명 발키리",2009-01-22,11972135869,NA,1798205,NA,372,"US","US, Germany","이십세기폭스코리아(주)",2009,1
"487",487,"목포는 항구다",2004-02-20,0,NA,1795700,"S",32,"Korea","Korea","코리아픽쳐스(주)",2004,2
"488",488,"분노의 질주: 더 맥시멈",2013-05-22,13203523042,NA,1790457,NA,656,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2013,5
"489",489,"아내가 결혼했다",2008-10-23,11995855000,NA,1788748,NA,414,"Korea","Korea","씨제이엔터테인먼트",2008,10
"490",490,"저스티스 리그",2017-11-15,14629692795,NA,1786386,NA,1308,"US","US","워너브러더스 코리아(주)",2017,11
"491",491,"여고괴담 세번째 이야기: 여우계단",2003-08-01,0,NA,1784479,"S",44,"Korea","Korea","(주)시네마서비스",2003,8
"492",492,"아이, 로봇",2004-07-30,0,NA,1777470,"S",49,"US","US","이십세기폭스필름코퍼레이션",2004,7
"493",493,"벤자민 버튼의 시간은 거꾸로 간다",2009-02-12,11603912005,NA,1767051,NA,313,"US","US","(주)일레븐엔터테인먼트,워너브러더스 코리아(주)",2009,2
"494",494,"공범",2013-10-24,12333110882,NA,1766285,NA,611,"Korea","Korea","씨제이이앤엠(주)",2013,10
"495",495,"수퍼맨 리턴즈",2006-06-28,0,NA,1764758,"S",96,"US","US","워너브러더스 코리아(주)",2006,6
"496",496,"나를 찾아줘",2014-10-23,14017716731,NA,1764233,NA,658,"US","US","이십세기폭스코리아(주)",2014,10
"497",497,"대호",2015-12-16,13489904632,NA,1762742,NA,892,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2015,12
"498",498,"걸리버 여행기",2011-01-27,16441355500,NA,1762070,NA,513,"US","US","이십세기폭스코리아(주)",2011,1
"499",499,"주먹왕 랄프 2: 인터넷 속으로",2019-01-03,13919424723,NA,1758891,NA,1453,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,1
"500",500,"내셔널 트레져:비밀의 책",2007-12-19,NA,NA,1756319,"S",76,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2007,12
